playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
shawbr01,2020,1,SEA,AL,1,0,6,0,0,0,0,18,13,12,1.0,6,4,0.433,18.0,0.0,0.0,1.0,0.0,38.0,1.0,12,0.0,1.0,1.0
shawbr01,2021,1,CLE,AL,6,7,81,0,0,0,2,232,69,30,10.0,38,71,0.235,3.49,0.0,6.0,1.0,0.0,334.0,10.0,33,1.0,0.0,5.0
shawbr01,2022,1,CLE,AL,6,2,60,2,0,0,1,175,58,35,9.0,26,52,0.252,5.4,1.0,2.0,4.0,0.0,261.0,11.0,38,0.0,1.0,5.0
shawbr01,2023,1,CHA,AL,0,0,38,0,0,0,4,137,39,21,3.0,17,40,0.235,4.14,0.0,1.0,6.0,0.0,190.0,17.0,21,0.0,1.0,9.0
shawbr01,2024,1,CHA,AL,0,1,5,0,0,0,0,12,8,4,1.0,4,4,0.4,9.0,1.0,1.0,0.0,0.0,24.0,3.0,5,0.0,0.0,1.0
sheehem01,2023,1,LAN,NL,4,1,13,11,0,0,1,181,46,33,11.0,26,64,0.21,4.92,0.0,1.0,1.0,0.0,248.0,1.0,33,0.0,2.0,5.0
sheehem01,2025,1,LAN,NL,6,3,15,12,0,0,0,220,49,23,7.0,22,89,0.185,2.82,0.0,2.0,2.0,0.0,291.0,0.0,29,0.0,2.0,1.0
sheffjo01,2021,1,COL,NL,0,0,30,0,0,0,0,88,19,11,2.0,13,20,0.19,3.38,0.0,4.0,2.0,0.0,116.0,12.0,11,0.0,1.0,4.0
sheffjo01,2022,1,COL,NL,0,0,2,0,0,0,0,6,2,0,0.0,2,1,0.333,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0,0.0,0.0,1.0
sheffju01,2020,1,SEA,AL,4,3,10,10,0,0,0,166,52,22,2.0,20,48,0.251,3.58,0.0,1.0,3.0,0.0,232.0,0.0,23,0.0,2.0,4.0
sheffju01,2021,1,SEA,AL,7,8,21,15,0,0,0,241,105,61,14.0,43,63,0.316,6.83,1.0,5.0,5.0,0.0,385.0,0.0,69,1.0,4.0,11.0
sheffju01,2022,1,SEA,AL,1,0,6,1,0,0,0,35,9,5,1.0,6,7,0.209,3.86,0.0,0.0,1.0,0.0,51.0,3.0,5,0.0,1.0,1.0
sherfji01,2021,1,SFN,NL,1,0,10,0,0,0,0,32,9,5,2.0,4,9,0.231,4.22,0.0,1.0,1.0,0.0,46.0,4.0,5,1.0,1.0,0.0
sherfji01,2021,2,LAN,NL,1,1,4,0,0,0,0,13,3,2,1.0,0,3,0.188,4.15,0.0,0.0,1.0,0.0,17.0,3.0,3,0.0,0.0,1.0
sherrry01,2020,1,TBA,AL,1,0,10,0,0,0,1,29,6,0,0.0,2,2,0.188,0.0,0.0,0.0,0.0,0.0,34.0,3.0,0,0.0,0.0,3.0
sherrry01,2021,1,TBA,AL,0,1,16,0,0,0,1,44,14,9,0.0,9,16,0.241,5.52,0.0,2.0,4.0,0.0,72.0,6.0,11,0.0,1.0,1.0
sherrry01,2023,1,BOS,AL,0,0,5,0,0,0,0,20,6,2,0.0,2,5,0.24,2.7,0.0,0.0,1.0,0.0,29.0,1.0,2,0.0,1.0,0.0
shoemma01,2020,1,TOR,AL,0,1,6,6,0,0,0,86,22,15,8.0,9,26,0.21,4.71,0.0,0.0,0.0,0.0,115.0,0.0,16,1.0,0.0,4.0
shoemma01,2021,1,MIN,AL,3,8,16,11,0,0,0,181,73,54,15.0,27,40,0.297,8.06,1.0,1.0,3.0,0.0,284.0,4.0,56,2.0,5.0,2.0
shortza01,2023,1,DET,AL,0,0,6,0,0,0,0,18,12,4,0.0,1,1,0.4,6.0,0.0,0.0,1.0,0.0,32.0,6.0,4,0.0,0.0,0.0
shrevch01,2020,1,NYN,NL,1,0,17,0,0,0,0,75,17,11,4.0,12,34,0.191,3.96,0.0,0.0,0.0,0.0,102.0,1.0,12,0.0,1.0,2.0
shrevch01,2021,1,PIT,NL,3,3,57,0,0,0,0,169,43,20,7.0,28,45,0.212,3.2,0.0,0.0,1.0,0.0,235.0,5.0,20,0.0,3.0,6.0
shrevch01,2022,1,NYN,NL,1,1,25,0,0,0,0,79,27,19,6.0,10,29,0.262,6.49,1.0,2.0,0.0,0.0,114.0,4.0,19,0.0,1.0,0.0
shrevch01,2023,1,DET,AL,1,2,47,0,0,0,0,124,45,22,6.0,12,42,0.278,4.79,0.0,3.0,1.0,0.0,180.0,10.0,24,1.0,4.0,3.0
shrevch01,2023,2,CIN,NL,0,0,3,0,0,0,0,10,1,1,1.0,2,3,0.091,2.7,0.0,0.0,0.0,0.0,13.0,0.0,1,0.0,0.0,0.0
