playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,WAR
lopesti01,2020,1,SEA,AL,46,143,16,34,12,0,2,15.0,5.0,0.0,6,34.0,0.0,2.0,0.0,0.0,2.0,-0.2
lopesti01,2021,1,MIL,NL,7,10,1,1,0,0,0,0.0,0.0,1.0,1,4.0,0.0,0.0,0.0,0.0,0.0,-0.2
lopezal03,2021,1,CIN,NL,14,23,3,6,0,0,0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0.0,1.0,-0.3
lopezal03,2022,1,CIN,NL,61,145,15,38,5,1,1,10.0,3.0,1.0,9,21.0,1.0,2.0,0.0,0.0,1.0,-0.3
lopezal03,2023,1,CIN,NL,1,2,1,1,1,0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
lopezir01,2023,1,SLN,NL,5,11,0,0,0,0,0,1.0,0.0,0.0,0,5.0,0.0,0.0,0.0,1.0,0.0,-0.4
lopezja03,2021,1,BOS,AL,7,13,2,2,2,0,0,0.0,0.0,0.0,1,6.0,0.0,0.0,2.0,0.0,0.0,0.1
lopezja03,2024,1,LAA,AL,27,67,4,17,3,0,1,6.0,0.0,1.0,2,25.0,0.0,1.0,1.0,0.0,2.0,0.0
lopezjo02,2021,1,BAL,AL,33,2,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lopezni01,2020,1,KCA,AL,56,169,15,34,8,0,1,13.0,0.0,5.0,18,41.0,0.0,2.0,3.0,0.0,1.0,0.2
lopezni01,2021,1,KCA,AL,151,497,78,149,21,6,2,43.0,22.0,1.0,49,74.0,0.0,4.0,12.0,3.0,9.0,4.4
lopezni01,2022,1,KCA,AL,142,436,51,99,12,4,0,20.0,13.0,3.0,29,63.0,0.0,4.0,10.0,1.0,8.0,-0.3
lopezni01,2023,1,KCA,AL,68,160,19,34,5,3,0,13.0,4.0,2.0,21,30.0,0.0,5.0,4.0,0.0,3.0,1.0
lopezni01,2023,2,ATL,NL,26,65,13,18,3,0,1,12.0,2.0,0.0,5,10.0,0.0,1.0,0.0,1.0,0.0,0.8
lopezni01,2024,1,CHA,AL,124,398,40,96,12,3,1,21.0,5.0,7.0,37,67.0,0.0,4.0,6.0,0.0,3.0,0.1
lopezni01,2025,1,LAA,AL,5,6,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,-0.2
lopezni01,2025,2,CHN,NL,14,18,2,1,0,0,0,1.0,0.0,0.0,4,3.0,0.0,0.0,0.0,0.0,1.0,-0.3
lopezot01,2021,1,TOR,AL,1,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lopezot01,2022,1,TOR,AL,8,9,0,6,0,0,0,3.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.3
lopezot01,2024,1,MIA,NL,117,403,49,109,23,1,6,39.0,20.0,4.0,25,75.0,0.0,1.0,2.0,2.0,13.0,2.8
